2007-02-05 04:00	1.95816	1.95823	1.95363	1.95617	13532
2007-02-05 08:00	1.95587	1.96127	1.95514	1.95941	70592
2007-02-05 12:00	1.95942	1.96095	1.95827	1.95982	20416
2007-02-05 16:00	1.95981	1.96160	1.95936	1.96113	12707
2007-02-05 20:00	1.96117	1.96129	1.95878	1.95935	12453
2007-02-06 00:00	1.95936	1.96736	1.95925	1.96551	15439
2007-02-06 04:00	1.96548	1.97047	1.96533	1.96929	15682
2007-02-06 08:00	1.96922	1.97197	1.96755	1.97036	68355
2007-02-06 12:00	1.97040	1.97182	1.96986	1.97103	19971
2007-02-06 16:00	1.97089	1.97115	1.96829	1.97017	12116
2007-02-06 20:00	1.97019	1.97083	1.96885	1.96962	12233
2007-02-07 00:00	1.96965	1.97218	1.96732	1.97071	15466
2007-02-07 04:00	1.97097	1.97299	1.96844	1.96856	15198
2007-02-07 08:00	1.96858	1.97092	1.96823	1.96998	69532
2007-02-07 12:00	1.97000	1.97061	1.96863	1.96990	20478
2007-02-07 16:00	1.96990	1.97177	1.96903	1.97054	12515
2007-02-07 20:00	1.97069	1.97270	1.97035	1.97035	13097
2007-02-08 00:00	1.97030	1.97074	1.96568	1.96787	16071
2007-02-08 04:00	1.96797	1.97007	1.95676	1.95800	15327
2007-02-08 08:00	1.95784	1.95915	1.95417	1.95718	70317
2007-02-08 12:00	1.95727	1.95899	1.95701	1.95861	21154
2007-02-08 16:00	1.95858	1.95949	1.95699	1.95863	12998
2007-02-08 20:00	1.95865	1.95998	1.95810	1.95832	13083
2007-02-09 00:00	1.95832	1.95849	1.94571	1.94932	15931
2007-02-09 04:00	1.94928	1.94987	1.94647	1.94694	15500
2007-02-09 08:00	1.94695	1.95140	1.94695	1.95052	70684
2007-02-09 12:00	1.95060	1.95147	1.94877	1.94892	19798
2007-02-11 12:00	1.94787	1.95397	1.94775	1.95197	5902
2007-02-11 16:00	1.95183	1.95396	1.95090	1.95139	19321
2007-02-11 20:00	1.95152	1.95655	1.95118	1.95546	18399
2007-02-12 00:00	1.95530	1.95564	1.94356	1.94555	18583
2007-02-12 04:00	1.94548	1.94967	1.94428	1.94668	15837
2007-02-12 08:00	1.94665	1.94914	1.94628	1.94678	68245
2007-02-12 12:00	1.94674	1.94815	1.94581	1.94594	20636
2007-02-12 16:00	1.94598	1.94890	1.94572	1.94890	11835
2007-02-12 20:00	1.94895	1.95017	1.94780	1.94885	12617
2007-02-13 00:00	1.94892	1.95225	1.94075	1.94162	15095
2007-02-13 04:00	1.94177	1.94618	1.94014	1.94393	16123
2007-02-13 08:00	1.94384	1.94575	1.94197	1.94408	70026
2007-02-13 12:00	1.94406	1.94733	1.94361	1.94565	20805
2007-02-13 16:00	1.94574	1.94766	1.94540	1.94680	12245
2007-02-13 20:00	1.94687	1.94892	1.94560	1.94753	12986
2007-02-14 00:00	1.94738	1.95579	1.94685	1.95538	16333
2007-02-14 04:00	1.95540	1.95791	1.95381	1.95761	16362
2007-02-14 08:00	1.95820	1.96377	1.95790	1.96135	70214
2007-02-14 12:00	1.96128	1.96348	1.96124	1.96298	20911
2007-02-14 16:00	1.96292	1.96463	1.96195	1.96276	12370
2007-02-14 20:00	1.96275	1.96668	1.96195	1.96631	12452
2007-02-15 00:00	1.96623	1.96749	1.95467	1.95713	15407
2007-02-15 04:00	1.95726	1.96183	1.95568	1.95765	15189
2007-02-15 08:00	1.95765	1.95768	1.95153	1.95240	69723
2007-02-15 12:00	1.95250	1.95454	1.95025	1.95060	20809
2007-02-15 16:00	1.95058	1.95341	1.95034	1.95252	12897
2007-02-15 20:00	1.95252	1.95345	1.95167	1.95209	12559
2007-02-16 00:00	1.95212	1.95384	1.94740	1.94855	15351
2007-02-16 04:00	1.94845	1.95149	1.94653	1.94855	16287
2007-02-16 08:00	1.94857	1.95130	1.94747	1.95060	70039
2007-02-16 12:00	1.95060	1.95123	1.94892	1.94928	17506
2007-02-18 12:00	1.94944	1.95560	1.94932	1.95420	2880
2007-02-18 16:00	1.95420	1.95586	1.95193	1.95581	12608
2007-02-18 20:00	1.95582	1.95582	1.95293	1.95438	12289
2007-02-19 00:00	1.95432	1.95459	1.94333	1.94464	14581
2007-02-19 04:00	1.94483	1.94601	1.94372	1.94523	15267
2007-02-19 08:00	1.94514	1.95397	1.94508	1.95091	69686
2007-02-19 12:00	1.95115	1.95234	1.95049	1.95052	21041
2007-02-19 16:00	1.95052	1.95465	1.94980	1.95395	13260
2007-02-19 20:00	1.95398	1.95466	1.95154	1.95267	12318
2007-02-20 00:00	1.95278	1.95468	1.94804	1.94804	15377
2007-02-20 04:00	1.94805	1.95465	1.94782	1.95358	14968
2007-02-20 08:00	1.95343	1.95745	1.95307	1.95395	70153
2007-02-20 12:00	1.95399	1.95547	1.95362	1.95470	21208
2007-02-20 16:00	1.95468	1.95659	1.95435	1.95513	12703
2007-02-20 20:00	1.95500	1.95620	1.95235	1.95360	13135
2007-02-21 00:00	1.95365	1.95874	1.94861	1.95112	15357
2007-02-21 04:00	1.95118	1.95466	1.94922	1.95154	15255
2007-02-21 08:00	1.95137	1.95450	1.95029	1.95387	70085
2007-02-21 12:00	1.95381	1.95476	1.95330	1.95400	20120
2007-02-21 16:00	1.95398	1.95405	1.95147	1.95287	12264
2007-02-21 20:00	1.95299	1.95351	1.95225	1.95268	12562
2007-02-22 00:00	1.95270	1.95270	1.94610	1.94987	15049
2007-02-22 04:00	1.95015	1.95131	1.94866	1.95036	15930
2007-02-22 08:00	1.95027	1.95998	1.95002	1.95768	70151
